Doenca,Sintoma_1,Sintoma_2,Sintoma_3,Sintoma_4
Ictericia,coceira,fadiga,vomitando,pele amarelada
Ictericia,fadiga,vomitando,pele amarelada,0
Ictericia,coceira,vomitando,pele amarelada,0
Ictericia,coceira,fadiga,pele amarelada,0
Ictericia,coceira,fadiga,vomitando,0
Malaria,arrepios,vomitando,suando,dor de cabeca
Malaria,vomitando,suando,dor de cabeca,0
Malaria,arrepios,suando,dor de cabeca,0
Malaria,arrepios,vomitando,dor de cabeca,0
Malaria,arrepios,vomitando,suando,0
Malaria,arrepios,vomitando,suando,dor de cabeca
Malaria,vomitando,suando,dor de cabeca,0
Malaria,arrepios,suando,dor de cabeca,0
Malaria,arrepios,vomitando,dor de cabeca,0
Malaria,arrepios,vomitando,suando,0
Catapora,coceira,fadiga,letargia,mal estar
Catapora,fadiga,letargia,mal estar,0
Catapora,coceira,letargia,mal estar,0
Catapora,coceira,fadiga,mal estar,0
Catapora,coceira,fadiga,letargia,0
Catapora,coceira,fadiga,letargia,mal estar
Catapora,fadiga,letargia,mal estar,0
Catapora,coceira,letargia,mal estar,0
Catapora,coceira,fadiga,mal estar,0
Catapora,coceira,fadiga,letargia,0
Dengue,arrepios,vomitando,fadiga,nausea
Dengue,vomitando,fadiga,nausea,0
Dengue,arrepios,fadiga,nausea,0
Dengue,arrepios,vomitando,nausea,0
Dengue,arrepios,vomitando,fadiga,0
Dengue,arrepios,vomitando,fadiga,nausea
Dengue,vomitando,fadiga,nausea,0
Dengue,arrepios,fadiga,nausea,0
Dengue,arrepios,vomitando,nausea,0
Dengue,arrepios,vomitando,fadiga,0
Tifoide,arrepios,vomitando,fadiga,nausea
Tifoide,vomitando,fadiga,nausea,0
Tifoide,arrepios,fadiga,nausea,0
Tifoide,arrepios,vomitando,nausea,0
Tifoide,arrepios,vomitando,fadiga,0
Tifoide,arrepios,vomitando,fadiga,nausea
Tifoide,vomitando,fadiga,nausea,0
Tifoide,arrepios,fadiga,nausea,0
Tifoide,arrepios,vomitando,nausea,0
Tifoide,arrepios,vomitando,fadiga,0
Hepatite A,dor nas articulacoes,vomitando,urina escura,nausea
Hepatite A,vomitando,urina escura,nausea,0
Hepatite A,dor nas articulacoes,urina escura,nausea,0
Hepatite A,dor nas articulacoes,vomitando,nausea,0
Hepatite A,dor nas articulacoes,vomitando,urina escura,0
Hepatite A,dor nas articulacoes,vomitando,urina escura,nausea
Hepatite A,vomitando,urina escura,nausea,0
Hepatite A,dor nas articulacoes,urina escura,nausea,0
Hepatite A,dor nas articulacoes,vomitando,nausea,0
Hepatite A,dor nas articulacoes,vomitando,urina escura,0
